"Dispensary","Hoodie ID","License #","Carried SKUs","SKU Count Change (since last week)","Total Monthly Sales","Address"
"Nectar - Milwaukie Harmony","14592","050-1015130EFE0","678","3% (-20)","under $250k","6335 SE Harmony Rd, Milwaukie, OR 97222, USA"
"HOMEGROWN - Albany","13046","050-101251607DE","632","3% (-20)","under $250k","921 SE 9th Ave, Albany, OR 97322, USA"
"Nectar - Sandy and 68th","masterauto1630102889786","050-101330248CE","558","3% (-20)","under $250k","6714 NE Sandy Blvd, Portland, OR 97213, USA"
"Livewell Dispensary - Broadway","13283","050-100869451F2","556","3% (-20)","under $250k","1522 Broadway St NE, Salem, OR 97301, USA"
"ARCANNA - Portland","17577","050-1016538BD86","542","4% (-20)","under $250k","4605 NE Fremont St suite 105, Portland, OR 97213, USA"
"Urban Farmacy","12477","050-10038053342","352","5% (-20)","under $250k","420 NE 60th Ave, Portland, OR 97213, USA"
"OG Collective - Corvallis","masterauto1626180291923","050-1016958598D","268","7% (-20)","under $250k","414 NW 4th St, Corvallis, OR 97330, USA"
"Hyroot Organics","masterauto1622324889059","050 1007465E4E4","212","9% (-20)","under $250k","52410 River Pine Rd, La Pine, OR 97739, USA"
"Bud Bros. - Cave Junction","12061","050 10056960FF0","193","9% (-20)","under $250k","335 S REDWOOD HWY, Cave Junction, Oregon, USA"
"Greenery - Marijuana Delivery Service","18794","050-10090892548","48","29% (-20)","N/A"," , Portland, Oregon, USA"
"Electric Lettuce - Hillsboro","13656","05010114962EEF","279","6% (-19)","under $250k","2795 SE Tualatin Valley Hwy, Hillsboro, OR 97123, USA"
"Floyd's Fine Cannabis on Columbia","masterauto1619128918880","050-1014115A716","124","13% (-19)","under $250k","1602 N Columbia Blvd, Portland, OR 97217, USA"
"Nectar - Portland Hawthorne","masterauto1645118160459","050-10126270C7D","654","3% (-18)","under $250k","2422 SE Hawthorne Blvd, Portland, OR 97214, USA"
"Green Cross Cannabis Emporium - River Rd","13476","050-100137839DD","636","3% (-18)","under $250k","3165 River Rd N, Salem, OR 97303, USA"
"Nectar - Gresham","10743","050-1003305612E","626","3% (-18)","$250k-$500k","505 NW Burnside Rd, Gresham, OR 97030, USA"
"Top Crop - Eugene","11978","050-1013202F7FC","480","4% (-18)","under $250k","3170 W 11th Ave STE A, Eugene, OR 97402, USA"
"The Joint on State","19266","050 1002423E8DA","478","4% (-18)","under $250k","2350 State St, Salem, OR 97301, USA"
"Nectar - Happy Valley","masterauto1640903001600","050-10175503366","357","5% (-18)","under $250k","10201 SE 82nd Ave, Portland, OR 97086, USA"
"Mr. Nice Guy - Veneta","14181","050-10010004FFE","324","5% (-18)","under $250k","25561 OR-126, Veneta, Oregon, USA"
"Weedbucks","10728","050-1005582DBA5","198","8% (-18)","under $250k","437 S Central Ave, Medford, OR 97501, USA"
"Smooth Roots PDX","masterauto1664823463760","Unspecified","900","2% (-16)","under $250k","15 Northeast Monroe Street, Portland, Oregon, USA"
