"Dispensary","Hoodie ID","License #","Carried SKUs","SKU Count Change (since last week)","Total Monthly Sales","Address"
"Eugene OG","13721","050-1000954D8AD","694","1% (-4)","under $250k","2045 Franklin Blvd, Eugene, OR 97403, USA"
"Hippy Trip","13054","050-1008663DE73","586","1% (-4)","under $250k","249 US-101 suite a, Depoe Bay, OR 97341, USA"
"Club Sky High","13589","050 1000235878E","519","1% (-4)","under $250k","8975 N Lombard St, Portland, OR 97203, USA"
"Plane Jane's Dispensary - Portland","14736","050 1004832102C","488","1% (-4)","under $250k","10530 NE Simpson St, Portland, OR 97220, USA"
"Frontier Farms Cannabis - The Dalles","masterauto1635238560567","050-1017449E2EB","428","1% (-4)","under $250k","609 E 2nd St, The Dalles, OR 97058, USA"
"Tokyo Starfish - South HWY 97","12981","050 100516333C2","406","1% (-4)","$250k-$500k","61230 S Hwy 97, Bend, OR 97702, USA"
"Emerald Triangle - Talent","13946","050-100342445FA","328","1% (-4)","under $250k","103 N Pacific Hwy Suite B, Talent, OR 97540, USA"
"Paradise Found - Milwaukieno","14929","050 1008521615D","326","1% (-4)","under $250k","10655 SE 42nd Ave, Milwaukie, OR 97222, USA"
"OG Collective Dispensary - Commercial","15854","050-100157201FF","198","2% (-4)","under $250k","3537 Commercial St SE #100, Salem, OR 97302, USA"
"The Farmers Daughters Dispensary","13774","050-100825128A0","161","2% (-4)","under $250k","1025 Chetco Ave, Brookings, OR 97415, USA"
"Budz Cannabis Superstore","masterauto1621966749924","050-1016704544A","157","2% (-4)","under $250k","3600 Merlin Rd, Grants Pass, OR 97526, USA"
"Weedbucks - Merlinweb","masterauto1658426530834","050-1017346D1E7","148","3% (-4)","under $250k","330 Galice Rd, Merlin, OR 97532, USA"
"Green Health Associates","14218","050-1010887904B","144","3% (-4)","under $250k","607 State Hwy 99 N, Eugene, OR 97402, USA"
"Cannabiz Experience","10266","050-100485158FE","130","3% (-4)","under $250k","333 N Riverside Ave, Medford, OR 97501, USA"
"Doctor's Orders Portland","11979","050-1005063D72C","117","3% (-4)","under $250k","3424 NE 82nd Ave, Portland, OR 97220, USA"
"Cookies - Eugene","14343","050-1017143AEF5","110","4% (-4)","under $250k","1158 High St suite 101, Eugene, OR 97401, USA"
"Attis Trading Company - Cully","13680","050-10051193A0E","88","4% (-4)","under $250k","4920 NE Cully Blvd, Portland, OR 97218, USA"
"Plus Dispensary","11435","050-101048392D3","36","10% (-4)","under $250k","45 NE 122nd Ave, Portland, OR 97220, USA"
"Natural Remedies - Portland East
","11177","050 10047179FEF","122","2% (-3)","under $250k","9810 E Burnside St, Portland, OR 97216, USA"
"Pipe Dreams Dispensary - Lincoln City","14487","050-10001832DA7","115","3% (-3)","under $250k","1745 SE Hwy 101, Lincoln City, OR 97367, USA"
"Power Plant Foster - Portland","14378","050-10113069B02","88","3% (-3)","under $250k","10215 SE Foster Rd, Portland, OR 97266, USA"
"Nectar - Ashland Main","10497","050 1004450CCA0","628","0% (-2)","under $250k","488 N Main St, Ashland, OR 97520, USA"
"Dreamz Dispensary - Eugene","14460","050-1002612f763","544","0% (-2)","under $250k","1000 Obie St, Eugene, OR 97402, USA"
"TJ's on Willamette","11909","Unspecified","470","0% (-2)","under $250k","1027 Willamette St, Eugene, OR 97401, USA"
"The Local Market - Bend","15637","050 1004132F2CF","420","0% (-2)","under $250k","1216 NE 1st St, Bend, OR 97701, USA"
"Mr. Nice Guy - Holgate","9730","050-100099996CC","406","0% (-2)","under $250k","11030 SE HOLGATE BLVD, Portland, Oregon, USA"
"Maritime Cafe","13183","050 10000680436","397","1% (-2)","under $250k","17417 SE McLoughlin Blvd, Portland, OR 97267, USA"
"The Green Planet - Beaverton","14308","050-1002260AA4F","389","1% (-2)","under $250k","10100 SW Canyon Rd, Beaverton, OR 97005, USA"
"Tokyo Starfish - 3rd st","9604","050 1011273FDDC","366","1% (-2)","under $250k","923 SE 3rd St, Bend, OR 97702, USA"
"Sensible Cannabis Company","12129","050-101133291FA","364","1% (-2)","under $250k","3338 N Pacific Hwy, Medford, OR 97501, USA"
"Natural Wonders - Portland","14115","050-1003343AD7E","364","1% (-2)","under $250k","3831 SE Main St, Portland, OR 97214, USA"
"TJ's on Broadway - Salem","masterauto1637681420978","050-1017432812F","336","1% (-2)","under $250k","1487 Broadway St NE, Salem, OR 97301, USA"
"Western Oregon Dispensary - Newberg","12192","Unspecified","334","1% (-2)","under $250k","1013 N Springbrook Rd, Newberg, OR 97132, USA"
"Electric Lettuce Dispensary - Portland Dekum","15114","050  10140566C3D","206","1% (-2)","under $250k","909 NE DEKUM ST, STE A, Portland, Oregon, USA"
"Salem Organics","13568","050-1008736780D","188","1% (-2)","under $250k","4980 Commercial St SE, Salem, OR 97302, USA"
"THX - Portland","masterauto1722890515205","Unspecified","56","3% (-2)","under $250k","4931 NE 33rd Ave, Portland, OR 97211, USA"
"Green Cross Dispensary - Brownsville","10124","050-10055307DA2","16","11% (-2)","under $250k","221 W Bishop Way, Brownsville, OR 97327, USA"
"Hotbox Farms - Ontario","18852","050-10124660E00","382","0% (-1)","$250k-$500k","325 Goodfellow St, Ontario, OR 97914, USA"
"Archive Portland","10875","050-100089293F9","157","1% (-1)","under $250k","10645 SE Henry St b, Portland, OR 97266, USA"
"La Mota - Taylors Ferry Rd","17775","050-1008270BB4F","111","1% (-1)","under $250k","1103 SW Taylors Ferry Rd, Portland, OR 97219, USA"
"Marie Janes Cannabis Connection","11557","050-10046559560","54","2% (-1)","under $250k","568 SW 3rd St, Corvallis, OR 97333, USA"
"Rogue River Herbal PMC - Oregon","13480","1001576D112","45","2% (-1)","under $250k","510 E Main St, Rogue River, OR 97537, USA"
"Green Mountain Fire","13705","050-10064647FD2","724","0% (0)","under $250k","21951 SE STARK ST, Gresham, Oregon, USA"
"Top Shelf Medicine - Newport","masterauto1629307946980","050-1011675DFC6","721","0% (0)","under $250k","657 SW Coast Hwy, Newport, OR 97365, USA"
"Green Cross Cannabis Emporium - Salem","10090","050-100137839DD","590","0% (0)","under $250k","4550 Commercial St SE, Salem, OR 97302, USA"
"Broadway Cannabis Market - Portland","14139","050-101040688B0","538","0% (0)","under $250k","427 NW Broadway, Portland, OR 97209, USA"
"Left Coast Connection LLC","11060","050-10025185011","502","0% (0)","under $250k","10055 NE Glisan St, Portland, OR 97220, USA"
"Serra Belmont","9786","050 1001606EE83","488","0% (0)","under $250k","2519 SE Belmont St, Portland, OR 97214, USA"
"The Dispensary on 52nd","13194","050-1000236A6D2","474","0% (0)","under $250k","4452 SE 52nd Ave, Portland, OR 97206, USA"
"Going Green - Eugene","10812","050-10155684476","454","0% (0)","under $250k","439 W 1st Ave, Eugene, OR 97401, USA"
"Sensible Cannabis Company - Portland","masterauto1670010207714","050-10201128197","412","0% (0)","under $250k","1926 NE 40th Ave, Portland, OR 97212, USA"
"Green Lion - Clackamas","11691","050-1015135E4D3","376","0% (0)","under $250k","7000 SE Johnson Creek Blvd, Portland, OR 97206, USA"
"Oregrown - Cannon Beach","10027","050 10076398349","374","0% (0)","under $250k","215 N Hemlock St, Cannon Beach, OR 97110, USA"
"Electric Lettuce Delivery - Westside","masterauto1649351167604","Unspecified","372","0% (0)","N/A","Unspecified, Hillsboro, Oregon, USA"
"High Lakes Cannabis Co - Monmouth","12028","050-1006174477B","370","0% (0)","under $250k","593 JACKSON ST E, Monmouth, Oregon, USA"
"Little Amsterdam - Portland","11208","050 1004323E257","368","0% (0)","under $250k","7035 S Macadam Ave, Portland, OR 97219, USA"
"Herbal Choices - Charleston","9728","050-1003361BA17","344","0% (0)","under $250k","63247 Troller Rd, Charleston, OR 97420, USA"
"Kaleafa Cannabis Co. - Portland","masterauto1647891617914","050-1001106576F","341","0% (0)","under $250k","5232 SE Woodstock Blvd, Portland, OR 97206, USA"
"PottonMouth Retail Cannabis","10582","050 1009127E8AF","284","0% (0)","under $250k","950 SE Sheridan Rd, Sheridan, OR 97378, USA"
"The CDC Dispensary - Portland","10650","050-1003846F031","283","0% (0)","under $250k","10015 SW Hall Blvd Ste B, Portland, OR 97223, USA"
"Electric Lettuce - Happy Valley","10756","050-101070561E6","282","0% (0)","under $250k","16416 SE Sunnyside Rd, Clackamas, OR 97015, USA"
"Oregon Grown Cannabis","12815","050-1005779006B","240","0% (0)","under $250k","1201 W Stewart Ave, Medford, OR 97501, USA"
"OG Collective - Liberty","19223","050-101185442C9","228","0% (0)","under $250k","1617 Liberty St NE, Salem, OR 97301, USA"
"The Rock Dispensary","masterauto1635209158480","050-10170663A49","226","0% (0)","under $250k","1911 Lancaster Dr NE, Salem, OR 97305, USA"
"Green Oasis - Sellwood","12002","050-10010749D9A","212","0% (0)","under $250k","1035 SE Tacoma St, Portland, OR 97202, USA"
"Oregon Cannabis Co","10837","050 100542973D6","210","0% (0)","under $250k","1977 Santiam Hwy SE, Albany, OR 97321, USA"
"Hashstoria - Astoria","10285","020-1007581CF85","206","0% (0)","under $250k","229 W Marine Dr #C, Astoria, OR 97103, USA"
"Discovery Cannabis - Waldport","13542","050-1014594A9CC","206","0% (0)","under $250k","250 SW Hwy 101, Waldport, OR 97394, USA"
"Paradise Found - Portland","15281","050 1004337113E","180","0% (0)","under $250k","10735 NE Halsey St, Portland, OR 97220, USA"
"Twenty After Four Wellness Center","12595","050-1001915EA16","170","0% (0)","under $250k","420 Blair Blvd, Eugene, OR 97402, USA"
"Purple Sunset LLC - Astoria","masterauto1712591460798","Unspecified","162","0% (0)","under $250k","3115 S Hemlock St, Cannon Beach, OR 97103, USA"
"Zion Cannabis - Ontario","19064","050-10151557699","159","0% (0)","under $250k","340 SE 13th St, Ontario, OR 97914, USA"
"The House of Dank","13199","050-10092871208","151","0% (0)","under $250k","379 Fir Ave, Reedsport, OR 97467, USA"
"Sweet Relief - St. Helens","11552","050-10025563EE3","146","0% (0)","under $250k","1809 Columbia Blvd, St Helens, OR 97051, USA"
"Hood River Naturals","12173","050-100041086CC","127","0% (0)","under $250k","1020 Wasco St ste k, Hood River, OR 97031, USA"
"Lucky Lion - Sandy","16425","Unspecified","126","0% (0)","under $250k","16148 NE Sandy Blvd, Portland, OR 97230, USA"
"The Flower Room - Bend","14797","050-1007975177C","124","0% (0)","under $250k","817 NW HILL ST, Bend, Oregon, USA"
"Mother Earth Medicines","14129","050-10088018221","110","0% (0)","under $250k","36 S Riverside Ave, Medford, OR 97501, USA"
"Beaver Bowls Cannabis Showroom","13161","050-1011974206C","90","0% (0)","under $250k","1434 Pacific Blvd SE, Albany, OR 97321, USA"
"Tangent Farmacy","11715","050-100562112C2","80","0% (0)","under $250k","32990 OR-99E, Tangent, OR 97389, USA"
"Jayne","17787","050-10041073E5E","73","0% (0)","under $250k","2145 NE Martin Luther King Jr Blvd, Portland, OR 97212, USA"
"Sweet Leaf Illusions","10951","050-10059292304","39","0% (0)","under $250k","8434 SE 82nd Ave, Portland, OR 97266, USA"
"Citi Zen - Pacific City/Pacific Beach","12787","050-1004766AB16","31","0% (0)","under $250k","6305 Pacific Ave, Cloverdale, OR 97112, USA"
"Buds R Us - Portland","masterauto1691167705329","Unspecified","3","0% (0)","under $250k","5262 Ne 31st Ave, Portland, Oregon, USA"
"The Bud House","20993","050-101386729BA","380","0% (+1)","$250k-$500k","115 NE 2nd St, Ontario, OR 97914, USA"
"The Green Planet - King City","13984","050-1002260AA4F","356","0% (+1)","under $250k","15350 SW 116th Ave #2658, King City, OR 97224, USA"
"The Green Remedy - Portland","15316","050 1003394CD52","231","0% (+1)","under $250k","12436 SE Powell Blvd, Portland, OR 97236, USA"
"Cloud 9 Cannabis","9856","050 100736767B7","97","1% (+1)","under $250k","154 Manor St NE, Albany, OR 97322, USA"
"Cannabliss and Co. - 22nd and Burnside","14056","050-100400192AC","600","0% (+2)","under $250k","2160 W Burnside St, Portland, Oregon, USA"
"Lincoln City Collective","13914","050-1004082F8AD","554","0% (+2)","under $250k","1266 SW 50th St, Lincoln City, OR 97367, USA"
"Cultiv8 - Portland SE Woodstock","10774","020-354682D74,050 1002749D5F6","529","0% (+2)","under $250k","5230 SE 52ND AVE, Portland, Oregon, USA"
"Green Cross - Hillsboro","12067","050-10045653650","480","0% (+2)","under $250k","1234 SW BASELINE ST, A, Hillsboro, Oregon, USA"
"Cougar Cannabis","15239","050 10049124667","478","0% (+2)","under $250k","1989 NE Diamond Lake Blvd, Roseburg, OR 97470, USA"
"Albany Alternative Health Solutions","11919","050-10052732037","361","1% (+2)","under $250k","820 Pacific Blvd SE B, Albany, OR 97322, USA"
"The New Amsterdam - Portland","10698","050-10034282CCC","312","1% (+2)","under $250k","2201 N Killingsworth St, Portland, OR 97217, USA"
"Happy Haze","13606","050 1014769D853","308","1% (+2)","under $250k","1409 Oak St, Eugene, OR 97401, USA"
"Plantae Health - Bend","10654","050-10022589CE7","304","1% (+2)","under $250k","2115 NE Hwy 20 #107, Bend, OR 97701, USA"
"POPS","masterauto1647525472598","1016923EE82","284","1% (+2)","under $250k","264 Sixth St Unit A Corner of HWY 101 and, Jackson St, Port Orford, OR 97465, USA"
"Willamette Valley Cannabis","16842","050 100008156B4","230","1% (+2)","under $250k","8265 SE McLoughlin Blvd, Portland, OR 97202, USA"
"Electric Lettuce - Eugene","16312","050-10116834C7B","216","1% (+2)","under $250k","1201 W 11th Ave, Eugene, OR 97402, USA"
"Pot Mates","19052","050-101144582D7","155","1% (+2)","N/A","4607 SW Beaverton Hillsdale Hwy, Portland, OR 97221, USA"
"Mystic Moss Dispensary - Corvallis","masterauto1743029116124","050-8714","154","1% (+2)","under $250k","119 Southwest 4th St, Corvallis, Oregon, USA"
"BUDZ Barn - Medford","16419","050-100480492FF","89","2% (+2)","under $250k","3528 South Pacific Hwy , Medford, Oregon, USA"
"Trees Dispensary - 102nd Portland","12466","050 10036004097","84","2% (+2)","under $250k","1234 NE 102nd Ave, Portland, OR 97220, USA"
"The Dime Store - Portland","masterauto1629306891242","050 10127610CE8","39","5% (+2)","N/A","8218 SE Holgate Blvd, Portland, OR 97266, USA"
"Nectar - Portland Washington","masterauto1659023905906","050-1015716BDCC","319","1% (+3)","under $250k","9735 SE Washington St, Portland, OR 97216, USA"
"Hierba Buena","9596","050-1007695C5F7","207","1% (+3)","under $250k","3674 Pacific Hwy, Hubbard, OR 97032, USA"
"Ishen Tree - Glisan","10301","050-10088926F6F","176","2% (+3)","under $250k","11821 NE Glisan St, Portland, OR 97220, USA"
"Terpene Station - Eugene","12021","050-1011403433E","151","2% (+3)","under $250k","645 River Rd #3, Eugene, OR 97404, USA"
"Zion Cannabis - Portland","12172","050-10039294D00","105","3% (+3)","under $250k","2331 SW 6th Ave, Portland, OR 97201, USA"
"The Spot Cannabis Collective - Ashland","masterauto1716738566107","Unspecified","1016","0% (+4)","under $250k","2590 Crater Lake Hwy, Medford, OR 97504, USA"
"Cannabis Nation - Beaverton","15343","050100164832B5","630","1% (+4)","$250k-$500k","15915 NW Schendel Ave #104, Beaverton, OR 97006, USA"
"Redbarn Dispensary - Main St Springfield","masterauto1713559172414","Unspecified","618","1% (+4)","under $250k","4360 Main St, Springfield, OR 97478, USA"
"THC Recreation Station - Salem","12144","050-10044175634","602","1% (+4)","under $250k","1295 Oxford St SE, Salem, OR 97302, USA"
"Phresh Start - Springfield","11372","050-1004716B1DB","422","1% (+4)","under $250k","1623 21st St suite b, Springfield, OR 97477, USA"
"Modern Forest - Sweet Home","masterauto1654542100333","Unspecified","388","1% (+4)","under $250k","160 Main St, Sweet Home, OR 97386, USA"
"Monmouth Cannabis","15379","050-100479383D7","360","1% (+4)","under $250k","210 Pacific Hwy W South, Monmouth, OR 97361, USA"
"Herbal Choices - Coos Bay","13524","050-1003361BA17","338","1% (+4)","under $250k","965 S 1st St, Coos Bay, OR 97420, USA"
"WeedAgain - Oakridge","13544","050-100912345DE","296","1% (+4)","under $250k","47670 OR-58 Suite B, Oakridge, OR 97463, USA"
"Hive Cannabis Connect","masterauto1683917882004","Unspecified","226","2% (+4)","under $250k","2836 W 11th Ave Unit 2, Eugene, OR 97402, USA"
"OG Collective - West Salem","16136","Unspecified","178","2% (+4)","under $250k","908 Edgewater St NW, Salem, OR 97304, USA"
"OG Collective Dispensary - Hawthorne","14587","050-100157201FF","170","2% (+4)","under $250k","3410 Hawthorne Ave NE, Salem, OR 97301, USA"
"Zuni Farm Stand Dispensary","masterauto1665070932365","050-1015330739B","147","3% (+4)","under $250k","3540 Demaray Dr Suite B, Grants Pass, OR 97527, USA"
"Lucky Lion - Springfield","masterauto1708113594457","Unspecified","118","4% (+4)","under $250k","2147 Main St, Springfield, OR 97477, USA"
"Western Oregon Dispensary - Hilsboro","20956","050-10124782846","339","1% (+5)","under $250k","652 SW Baseline St, Hillsboro, OR 97123, USA"
"Floyd's Fine Cannabis Slabtown","9603","050-1011662585D","196","3% (+5)","under $250k","2515 NW Nicolai St, Portland, OR 97210, USA"
"Moss Crossing","13971","050 100386665E6","154","3% (+5)","under $250k","2751 Friendly St, Eugene, OR 97405, USA"
"Refinery Dispensary","14589","050-1003834AEE9","68","8% (+5)","under $250k","2707 NE Broadway, Portland, OR 97232, USA"
"Good Life Collective","10135","050-1017483E9A8","67","8% (+5)","under $250k","193 Marine Dr, Astoria, OR 97103, USA"
"The Medication Station - Newport","10291","050-10025655A62","874","1% (+6)","$250k-$500k","454 SW Coast Hwy, Newport, OR 97365, USA"
"Nectar - Mississippi","12809","050-1003305612E","630","1% (+6)","under $250k","4125 N Mississippi Ave, Portland, OR 97217, USA"
"Broadway Cannabis Market - SW Clay","masterauto1745022072689","050-11726","506","1% (+6)","under $250k","1016 SW Clay St, Portland, OR 97201, USA"
"Green Cross Cannabis Emporium","masterauto1621985030020","050-10054892BF2","440","1% (+6)","under $250k","1695 Center St NE, Salem, OR 97301, USA"
"Three Kings Organics","12062","050-10039622D6B","382","2% (+6)","under $250k","224 Terminal Ave A, The Dalles, OR 97058, USA"
"Western Oregon - Beaverton","masterauto1666030582553","Unspecified","360","2% (+6)","under $250k","19665 SW Tualatin Valley Hwy Suite A, Beaverton, OR 97006, USA"
"The Belmont Collective","12427","050-1000942FDE4","322","2% (+6)","under $250k","2036 SE Belmont St, Portland, OR 97214, USA"
"Phresh Cannabis","9722","050-1003982A725","191","3% (+6)","under $250k","2743 19th Ave, Forest Grove, OR 97116, USA"
"Grasslands Dispensary","14439","050-1005305255D","174","4% (+6)","under $250k","154 Lawrence St, Eugene, OR 97401, USA"
"Treasure Valley Cannabis Company","13700","050-1014181B573","330","2% (+7)","$250k-$500k","560 SE 12th Ave, Ontario, OR 97914, USA"
"Oregon Bud Company - Clackamas","14306","050-10006476DA7","83","9% (+7)","under $250k","16631 SE 82nd Dr, Clackamas, OR 97015, USA"
"Oregon Bud Company - Cesar Chavez Portland","18028","050-101157106FA","57","14% (+7)","under $250k","4511 SE Cesar Estrada Chavez Blvd, Portland, OR 97202, USA"
"Smooth Roots - Lincoln City","masterauto1625060903569","050-10162945466","888","1% (+8)","under $250k","325 SE Hwy 101, Lincoln City, OR 97367, USA"
"Northwest Cannabis","masterauto1642511439658","1016504DD9E","662","1% (+8)","$500k-$750k","17937 SW McEwan Rd, Tualatin, OR 97224, USA"
"Nectar - 122nd and Holladay","15097","050-1011298F0B2","652","1% (+8)","under $250k","1019 NE 122nd Ave, Portland, OR 97230, USA"
"Redbarn Dispensary - Myrtle Creek","14165","050 1004542CDD8","624","1% (+8)","$250k-$500k","1069 N Old Pacific Hwy, Myrtle Creek, OR 97457, USA"
"Broadway Cannabis Market - SW Pearl","masterauto1677617857757","050-10158286B2C","502","2% (+8)","under $250k","219 SW Broadway, Portland, OR 97205, USA"
"Herbal Choices - Reedsport","15166","050-10111819607","384","2% (+8)","under $250k","1891 Winchester Ave, Reedsport, OR 97467, USA"
"Chronix Dispensary - Portland","masterauto1691169248744","050 1017648E8FD","352","2% (+8)","under $250k","933 Northeast 82nd Ave, Portland, Oregon, USA"
"Stone Age Farmacy PDX","10278","050 1000292877D","300","3% (+8)","under $250k","8621 SW Canyon Dr, Portland, OR 97225, USA"
"West Salem Cannabis","13001","050-10009873CDF","288","3% (+8)","under $250k","2625 Salem Dallas Hwy NW, Salem, OR 97304, USA"
"Oregon's Green Rush","14354","050-10004429B31","208","4% (+8)","under $250k","2644 River Rd, Eugene, OR 97404, USA"
"Oasis Cannabis - Seaside","13177","050-1004580125D","122","7% (+8)","under $250k","1111 S Holladay Dr, Seaside, OR 97138, USA"
"Attis Trading Company - Tillamook","10215","050-1005162BFD5","84","11% (+8)","under $250k","1830 Goodspeed Rd N, Tillamook, OR 97141, USA"
"The Herbal Connection - OR","13641","Unspecified","664","1% (+9)","under $250k","463 River Ave, Eugene, OR 97404, USA"
"The Green Planet - Milwaukie","12465","050-1002483A9C1","411","2% (+9)","under $250k","15080 SE McLoughlin Blvd #2825, Oak Grove, OR 97267, USA"
"Electric Lettuce - Lloyd District","12372","0501001702682A","241","4% (+9)","under $250k","203 NE WEIDLER ST, Portland, Oregon, USA"
"Electric Lettuce - Alberta","14519","0501013239D34B","224","4% (+9)","under $250k","1313 NE Alberta St, Portland, OR 97211, USA"
"Portland Best Buds","11463","050-10015902FDC","205","5% (+9)","under $250k","6313 N Lombard St UNIT B, Portland, OR 97203, USA"
"Rogue Valley Cannabis - Medford","13840","050-1008483E7CB","198","5% (+9)","under $250k","2060 W Main St, Medford, OR 97501, USA"
"Chalice Farms - Airport","9734","050-10086554F25","764","1% (+10)","under $250k","13315 NE Airport Way STE 700, Portland, OR 97230, USA"
"Chalice Farms - Downtown","15394","050-10086554F25","698","1% (+10)","under $250k","823 SW Naito Pkwy, Portland, Oregon, USA"
"Nectar - Beaverton Hillsdale Hwy","masterauto1640902997483","050-10126352F60","662","2% (+10)","under $250k","10477 SW Beaverton Hillsdale Hwy, Beaverton, OR 97005, USA"
"Tokyo Starfish - Box Factory","13548","050-1000360C340","362","3% (+10)","under $250k","542 NW Arizona Ave, Bend, OR 97703, USA"
"Weedology","10935","050-101385551D0","353","3% (+10)","$750k-$1M","591 E IDAHO AVE, Ontario, Oregon, USA"
"The New Amsterdam - Lakeview","11803","050-10085813943","304","3% (+10)","under $250k","15 N F St, Lakeview, OR 97630, USA"
"Electric Lettuce - Tigard","9881","050-1000390AC5A","277","4% (+10)","under $250k","11642 SW Pacific Hwy #100, Tigard, OR 97223, USA"
"Apothca - Eugene","18344","050-10028857D5D","242","4% (+10)","under $250k","1205 Alder St, Eugene, OR 97401, USA"
"La Mota - Gold Beach","16731","050-10079307113","87","13% (+10)","under $250k","29844 Ellensburg Ave, Gold Beach, OR 97444, USA"
"Attis Trading Company - Lincoln City","11874","050-100515855E1","64","19% (+10)","under $250k","3026 NE Hwy 101 #1, Lincoln City, OR 97367, USA"
"Portland Dispensary - Weed Land","16824","050-1015918D2F6","1471","1% (+11)","under $250k","4027 N Interstate Ave, Portland, OR 97227, USA"
"Oregon Coast Dispensary","10793","050-1003171DF64","186","6% (+11)","under $250k","861 NW Beach Dr, Newport, OR 97365, USA"
"Flowr of Lyfe","11157","050-10027689736","178","7% (+11)","under $250k","114 W Broadway, Eugene, OR 97401, USA"
"Nectar - Woodstock","11894","Unspecified","586","2% (+12)","under $250k","9222 SE Woodstock Blvd, Portland, OR 97266, USA"
"Cannabis Nation - SunRiver","12541","050-10050484E34","554","2% (+12)","under $250k","56789 Lunar Dr, Sunriver, OR 97707, USA"
"Hotbox Dispensary - Portland","13168","1004610DCA2","436","3% (+12)","under $250k","5103 NE Fremont St, Portland, OR 97213, USA"
"Mr. Nice Guy - Bend","11249","050-10135587382","306","4% (+12)","under $250k","224 SE DAVIS AVE, Bend, Oregon, USA"
"Electric Lettuce - Beaverton","14269","050-1009489D6FC","276","5% (+12)","under $250k","6950 SW 105TH AVE Ste 110, Beaverton, Oregon, USA"
"OG Collective Dispensary - Cross","masterauto1641400791173","050-100157201FF","256","5% (+12)","under $250k","1255 Cross St SE #150, Salem, OR 97302, USA"
"The Green Planet - Canby","19015","050-1002483A9C1","419","3% (+13)","under $250k","25496 S Hwy 99 E, Aurora, OR 97002, USA"
"Cannabis Nation - Oregon City","9793","050-10081041764","369","4% (+13)","under $250k","1128 Main St, Oregon City, OR 97045, USA"
"New Millennium","11147","505-1004297C917","252","5% (+13)","under $250k","2893 Oak St, Eugene, OR 97405, USA"
"Broadway Cannabis Market - Beaverton","masterauto1622320280182","050-1016124DFA1","552","3% (+14)","under $250k","9952 SW Beaverton Hillsdale Hwy, Beaverton, OR 97005, USA"
"Shango - Harold","13090","050 10034516B89","182","8% (+14)","under $250k","8056 SE Harold St, Portland, OR 97206, USA"
"FX420 Recreational Dispensary","13200","050-1008712E87C","243","7% (+15)","$250k-$500k","161 NE Garden Valley Blvd Suite 105, Roseburg, OR 97470, USA"
"Sweet Tree Farms","11911","050-10042166E81","978","2% (+16)","$500k-$750k","4097 W 11th Ave, Eugene, OR 97402, USA"
"Lovebuzz - Broadway
","15341","050-10142963DF4","596","3% (+16)","under $250k","6802 NE Broadway, Portland, OR 97213, USA"
"Elevation 2150","masterauto1625664486420","050-100569155C6","498","3% (+16)","under $250k","2876 SW 4th Ave Suite 1, Ontario, OR 97914, USA"
"Rogue Valley Cannabis - Central Point","10276","050-10051449C85","332","5% (+16)","under $250k","6388 Crater Lake Ave, Central Point, OR 97502, USA"
"Western Oregon Dispensary - Lake Oswego","masterauto1748629729732","050-1014405321C","332","5% (+16)","N/A","17750 Lower Boones Ferry Rd, Lake Oswego, OR 97035, USA"
"Track Town Collective","15160","050-100427434E1","302","6% (+16)","under $250k","3675 Franklin Blvd, Eugene, OR 97403, USA"
"Tumbleweed Cannabis Co","17774","050-10051014E88","183","10% (+16)","under $250k","North 310, US-20, Hines, OR 97738, USA"
"Treestar","10460","020 100706617D5","570","3% (+18)","$250k-$500k","1385 Industrial Ave Suite 1, Woodburn, OR 97071, USA"
"Redbarn Dispensary - Myrtle Point","16812","050 1012469940D","540","3% (+18)","under $250k","1107 Maryland Ave, Myrtle Point, OR 97458, USA"
"DiamondTree - Eastside - Bend","10552","050-10000590807","530","4% (+18)","under $250k","2715 US-20, Bend, OR 97701, USA"
"Western Oregon Dispensary - Cedar Mill","11634","Unspecified","340","6% (+18)","under $250k","760 NW Dale Ave, Portland, OR 97229, USA"
"The Flower Room - Tumalo","masterauto1696605661572","Unspecified","312","6% (+18)","under $250k","64619 US-20, Bend, OR 97703, USA"
"Oasis Cannabis - Monmouth","12140","050-1006107BBE8","251","8% (+18)","under $250k","221 Main St E, Monmouth, OR 97361, USA"
"Home Grown Apothecary","16010","050-101554369CB","122","18% (+19)","under $250k","1937 Northeast Pacific Street, Portland, OR 97232, USA"
"Trees Dispensary - SW Corbett Portland","14125","050-1011165272A","78","32% (+19)","under $250k","3607 S Corbett Ave, Portland, OR 97239, USA"
"High Lakes Cannabis Co - Maywood Dr","masterauto1641837539629","050-1014111B782","554","4% (+20)","$250k-$500k","2820 Maywood Dr, Klamath Falls, OR 97601, USA"
"Floyd's Fine Cannabis - Division St.","masterauto1647560419821","050-10169465DE0","372","6% (+20)","under $250k","10561 SE Division St, Portland, OR 97216, USA"
"The Green Planet - Powell","masterauto1629305275722","050-1011548412A","421","5% (+21)","under $250k","17332 SE Powell Blvd, Portland, OR 97236, USA"
"High Quality","12518","050-100427322D0","303","7% (+21)","$250k-$500k","1435 NW 9th St Unit 110, Corvallis, OR 97330, USA"
"WeedAgain - Eugene","17634","050 10107199453","246","9% (+21)","under $250k","86784 Franklin Blvd A, Eugene, OR 97405, USA"
"New Leaf - Midtown","14235","050-100028766B5","212","12% (+22)","under $250k","2215 NE Evans St, McMinnville, OR 97128, USA"
"AmeriCanna Rx","13758","050-1003040668A","365","7% (+23)","$250k-$500k","8654 NE Sandy Blvd, Portland, OR 97220, USA"
